사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,수소,기타연료,하이브리드
서울특별시 동대문구 전농동,13211,2644,4731,1098,77,5,4120,2,7,23,504
서울특별시 동대문구 답십리동,18212,3593,6606,1518,102,6,5650,11,6,34,686
서울특별시 동대문구 장안동,23722,4525,9056,2226,104,7,6961,3,14,62,764
서울특별시 동대문구 청량리동,5169,1015,1858,569,33,0,1538,0,3,6,147
서울특별시 동대문구 회기동,2100,437,708,159,9,2,702,0,3,5,75
서울특별시 동대문구 휘경동,10241,1943,3738,917,43,2,3197,16,5,19,361
서울특별시 동대문구 이문동,9446,1888,3314,838,39,3,3019,2,5,27,311
서울특별시 중랑구 면목동,37557,6376,14560,3951,165,12,11192,250,15,42,994
서울특별시 중랑구 상봉동,13686,2269,4929,1487,71,8,4449,5,4,25,439
서울특별시 중랑구 중화동,11853,2031,4594,1280,50,3,3618,0,5,18,254
서울특별시 중랑구 묵동,16419,3073,6243,1464,61,3,5057,3,4,29,482
서울특별시 중랑구 망우동,15048,2111,5621,2930,95,5,3948,7,6,18,307
서울특별시 중랑구 신내동,19733,3280,7210,2338,137,5,5957,112,7,56,631
서울특별시 성북구 성북동,3355,925,1057,176,32,1,1005,1,2,4,152
서울특별시 성북구 성북동1가,385,102,122,13,4,0,128,0,0,2,14
서울특별시 성북구 돈암동,12033,2876,3625,686,66,3,4144,1,4,33,595
서울특별시 성북구 동소문동1가,248,55,96,11,2,0,72,0,0,2,10
서울특별시 성북구 동소문동2가,109,23,40,13,1,0,28,0,0,1,3
서울특별시 성북구 동소문동3가,50,8,25,5,0,0,12,0,0,0,0
서울특별시 성북구 동소문동4가,819,182,255,60,5,0,291,0,0,2,24
서울특별시 성북구 동소문동5가,341,75,146,14,1,0,93,0,1,0,11
서울특별시 성북구 동소문동6가,466,82,227,29,0,0,121,1,0,0,6
서울특별시 성북구 동소문동7가,690,170,208,31,1,0,241,0,0,2,37
서울특별시 성북구 삼선동1가,847,191,293,73,3,1,264,0,0,1,21
서울특별시 성북구 삼선동2가,1668,376,587,79,6,1,541,0,1,5,72
서울특별시 성북구 삼선동3가,1050,225,400,56,7,0,314,0,0,3,45
서울특별시 성북구 삼선동4가,714,143,229,59,2,0,247,0,2,0,32
서울특별시 성북구 삼선동5가,974,151,425,46,35,0,283,15,0,2,17
서울특별시 성북구 동선동1가,223,48,80,17,2,0,71,0,0,0,5
서울특별시 성북구 동선동2가,359,77,130,27,3,0,111,8,0,0,3
서울특별시 성북구 동선동3가,511,102,190,38,0,0,163,0,0,1,17
서울특별시 성북구 동선동4가,560,109,207,44,1,0,179,0,0,2,18
서울특별시 성북구 동선동5가,458,90,155,37,1,0,163,0,0,0,12
서울특별시 성북구 안암동1가,873,192,276,63,6,1,281,0,0,4,50
서울특별시 성북구 안암동2가,390,59,139,45,2,0,133,0,0,0,12
서울특별시 성북구 안암동3가,917,179,338,73,0,0,306,0,0,1,20
서울특별시 성북구 안암동4가,321,55,136,20,0,0,101,0,0,0,9
서울특별시 성북구 안암동5가,622,121,240,43,2,1,198,0,0,2,15
서울특별시 성북구 보문동4가,356,65,169,17,7,0,89,0,0,0,9
서울특별시 성북구 보문동5가,450,69,221,37,2,0,115,0,0,0,6
서울특별시 성북구 보문동6가,1746,364,632,92,12,0,569,0,1,8,68
서울특별시 성북구 보문동7가,305,58,140,11,1,0,87,0,0,0,8
서울특별시 성북구 보문동1가,96,16,41,9,0,0,27,0,0,0,3
서울특별시 성북구 보문동2가,630,97,183,199,5,0,135,0,1,0,10
서울특별시 성북구 보문동3가,844,220,261,36,4,0,277,0,2,1,43
서울특별시 성북구 정릉동,23462,4413,7907,2040,185,6,7385,607,9,47,863
서울특별시 성북구 길음동,14661,3275,4526,847,87,9,5199,14,7,33,664
서울특별시 성북구 종암동,10743,2226,3867,795,58,3,3337,1,3,26,427
서울특별시 성북구 하월곡동,11644,2388,4174,851,57,2,3711,2,6,28,425
서울특별시 성북구 상월곡동,2586,441,977,249,16,0,823,0,3,2,75
서울특별시 성북구 장위동,14994,2761,5664,1334,86,7,4592,11,6,27,506
서울특별시 성북구 석관동,9789,1655,3749,1015,45,4,2938,84,4,13,282
서울특별시 강북구 미아동,33095,6075,11969,3038,151,9,10711,11,10,68,1053
서울특별시 강북구 번동,12991,2102,4596,1824,89,3,3844,222,3,15,293
서울특별시 강북구 수유동,26223,4476,9868,2790,146,8,7969,294,6,29,637
서울특별시 강북구 우이동,3263,608,1190,289,14,1,925,146,1,1,88
서울특별시 도봉구 쌍문동,20735,3603,7450,2283,87,7,6703,15,2,33,552
서울특별시 도봉구 방학동,23568,4008,8141,3414,185,9,7145,11,5,50,600
서울특별시 도봉구 창동,36270,6670,12570,3672,170,14,11843,35,14,60,1222
서울특별시 도봉구 도봉동,15097,2587,5440,1873,70,5,4396,289,4,23,410
서울특별시 노원구 월계동,23740,4270,8102,2688,104,10,7601,144,6,49,766
서울특별시 노원구 공릉동,23406,4233,7997,2568,104,4,7485,66,17,56,876
서울특별시 노원구 하계동,13853,2796,4349,1157,55,3,4883,4,6,20,580
서울특별시 노원구 상계동,60809,11063,19723,7255,341,23,19975,383,16,89,1941
서울특별시 노원구 중계동,30609,6149,9881,2741,121,10,10389,10,10,63,1235
서울특별시 은평구 수색동,3996,834,1266,300,20,0,1228,165,5,8,170
서울특별시 은평구 녹번동,10478,2048,3683,721,87,4,3462,18,7,14,434
서울특별시 은평구 불광동,16876,3489,5603,1362,64,8,5725,1,7,20,597
서울특별시 은평구 갈현동,13170,2559,4622,1178,41,4,4379,1,4,24,358
서울특별시 은평구 구산동,9384,1652,3241,913,41,2,2945,295,5,14,276
서울특별시 은평구 대조동,6012,1239,2128,544,18,0,1917,0,5,5,156
서울특별시 은평구 응암동,23504,4761,8119,1804,126,14,7737,2,12,38,891
서울특별시 은평구 역촌동,12220,2308,4397,1104,49,2,3969,2,6,17,366
서울특별시 은평구 신사동,14357,2361,4737,2457,79,4,4267,7,18,20,407
서울특별시 은평구 증산동,4660,798,1646,679,25,2,1354,2,6,10,138
서울특별시 은평구 진관동,17958,4097,5384,1376,171,6,5799,214,20,46,845
서울특별시 서대문구 충정로2가,511,94,207,26,1,0,167,0,1,2,13
서울특별시 서대문구 충정로3가,1814,309,717,186,5,1,510,6,1,2,77
서울특별시 서대문구 합동,400,125,114,23,8,0,118,0,0,0,12
서울특별시 서대문구 미근동,826,42,471,15,11,0,228,0,1,31,27
서울특별시 서대문구 냉천동,927,215,280,44,4,0,330,1,1,0,52
서울특별시 서대문구 천연동,1230,251,400,87,5,0,433,0,0,1,53
서울특별시 서대문구 옥천동,166,35,53,18,0,1,56,0,0,0,3
서울특별시 서대문구 영천동,1077,211,387,75,4,0,353,0,0,1,46
서울특별시 서대문구 현저동,1546,412,393,72,9,1,559,0,3,0,97
서울특별시 서대문구 북아현동,7861,1851,2589,454,61,5,2505,19,4,10,363
서울특별시 서대문구 홍제동,14294,3050,4612,969,63,5,4945,7,11,17,615
서울특별시 서대문구 대현동,1329,287,370,153,8,0,450,0,2,1,58
서울특별시 서대문구 대신동,291,80,96,7,1,0,94,0,0,0,13
서울특별시 서대문구 신촌동,271,63,107,7,1,0,79,3,1,1,9
서울특별시 서대문구 봉원동,122,19,50,10,1,0,39,0,0,0,3
서울특별시 서대문구 창천동,1970,435,649,211,13,0,595,0,2,1,64
서울특별시 서대문구 연희동,10159,2406,3394,685,108,8,3136,14,10,6,392
서울특별시 서대문구 홍은동,14485,2942,4846,1254,86,4,4722,77,7,26,521
서울특별시 서대문구 북가좌동,16225,2768,5606,2370,92,2,4740,54,11,49,533
서울특별시 서대문구 남가좌동,13967,3011,4647,840,72,6,4535,91,15,35,715
서울특별시 마포구 아현동,7415,1932,2236,348,44,2,2404,2,5,14,428
서울특별시 마포구 공덕동,8174,1991,2697,385,53,0,2618,0,8,18,404
서울특별시 마포구 신공덕동,4128,1091,1205,210,44,0,1345,0,3,7,223
서울특별시 마포구 도화동,9224,2167,3280,465,52,3,2805,1,2,42,407
서울특별시 마포구 용강동,2653,703,775,124,16,2,869,0,2,7,155
서울특별시 마포구 토정동,496,130,157,17,2,1,166,0,0,1,22
서울특별시 마포구 마포동,2789,365,1072,173,11,0,1055,0,1,2,110
서울특별시 마포구 대흥동,4890,1143,1548,298,30,2,1606,0,7,7,249
서울특별시 마포구 염리동,5620,1362,2051,226,35,2,1645,0,6,22,271
서울특별시 마포구 노고산동,1259,311,387,133,4,0,392,0,1,1,30
서울특별시 마포구 신수동,4779,1047,1651,288,23,3,1519,13,4,6,225
서울특별시 마포구 현석동,1838,494,567,61,10,1,580,0,3,1,121
서울특별시 마포구 구수동,462,53,285,23,6,0,91,0,0,0,4
서울특별시 마포구 창전동,4478,1090,1343,235,29,1,1532,3,7,11,227
서울특별시 마포구 상수동,2347,580,769,92,23,0,731,0,2,9,141
서울특별시 마포구 하중동,575,195,151,13,5,0,164,0,0,2,45
서울특별시 마포구 신정동,590,152,182,24,5,0,199,0,0,0,28
서울특별시 마포구 당인동,262,49,88,19,1,0,87,0,1,1,16
서울특별시 마포구 서교동,6558,1559,2297,334,39,3,2070,0,8,12,236
서울특별시 마포구 동교동,1775,387,684,92,13,0,522,0,1,2,74
서울특별시 마포구 합정동,6483,1196,2698,531,47,1,1794,2,11,9,194
서울특별시 마포구 망원동,11068,2132,4052,1131,67,4,3237,28,8,32,377
