statNm,statId,addr,lat,lng,bnm,busiNm
서울 중랑구 용마산로 300 (저압수용가),SF000623,서울특별시 중랑구 용마산로 300,37.578932,127.091945,스타코프,(주)스타코프
서울 관악구 난우10길 54 (저압수용가),SF000636,서울특별시 관악구 난우10길 54,37.476546,126.920188,스타코프,(주)스타코프
서울 서초구 서초대로32길 30-6 (저압수용가),SF000657,서울특별시 서초구 서초대로32길 30-6,37.487489,126.997375,스타코프,(주)스타코프
서울 서초구 사평대로20길 95 (저압수용가),SF000658,서울특별시 서초구 사평대로20길 95,37.49515,126.996472,스타코프,(주)스타코프
삼성동 힐스테이트 2단지 아파트,SF000662,서울특별시 강남구 삼성로111길 8,37.513845,127.051515,스타코프,(주)스타코프
삼성동 힐스테이트 2단지 아파트,SF000662,서울특별시 강남구 삼성로111길 8,37.513845,127.051515,스타코프,(주)스타코프
삼성동 힐스테이트 2단지 아파트,SF000662,서울특별시 강남구 삼성로111길 8,37.513845,127.051515,스타코프,(주)스타코프
삼성동 힐스테이트 2단지 아파트,SF000662,서울특별시 강남구 삼성로111길 8,37.513845,127.051515,스타코프,(주)스타코프
서울 금천구 독산로8다길 8 (저압수용가),SF000667,서울특별시 금천구 독산로8다길 8,37.447673,126.90817,스타코프,(주)스타코프
송파 두산위브,SF000674,서울특별시 송파구 성내천로 103,37.500487,127.14105,스타코프,(주)스타코프
송파 두산위브,SF000674,서울특별시 송파구 성내천로 103,37.500487,127.14105,스타코프,(주)스타코프
송파 두산위브,SF000674,서울특별시 송파구 성내천로 103,37.500487,127.14105,스타코프,(주)스타코프
송파 두산위브,SF000674,서울특별시 송파구 성내천로 103,37.500487,127.14105,스타코프,(주)스타코프
롯데캐슬 프레지던트 (아파트),SF000680,서울특별시 마포구 마포대로 109,37.544889,126.950603,스타코프,(주)스타코프
롯데캐슬 프레지던트 (아파트),SF000680,서울특별시 마포구 마포대로 109,37.544889,126.950603,스타코프,(주)스타코프
롯데캐슬 프레지던트 (아파트),SF000680,서울특별시 마포구 마포대로 109,37.544889,126.950603,스타코프,(주)스타코프
롯데캐슬 프레지던트 (아파트),SF000680,서울특별시 마포구 마포대로 109,37.544889,126.950603,스타코프,(주)스타코프
롯데캐슬 프레지던트 (아파트),SF000680,서울특별시 마포구 마포대로 109,37.544889,126.950603,스타코프,(주)스타코프
롯데캐슬 프레지던트 (아파트),SF000680,서울특별시 마포구 마포대로 109,37.544889,126.950603,스타코프,(주)스타코프
롯데캐슬 프레지던트 (아파트),SF000680,서울특별시 마포구 마포대로 109,37.544889,126.950603,스타코프,(주)스타코프
서울 서초구 서초대로51길 15 (저압수용가),SF000682,서울특별시 서초구 서초대로51길 15,37.495239,127.014046,스타코프,(주)스타코프
SK 허브그린,SF000684,서울특별시 마포구 마포대로 73,37.542279,126.948947,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
문래롯데캐슬,SF000698,서울특별시 영등포구 선유로9길 30,37.518402286,126.88486563,스타코프,(주)스타코프
응원빌딩 (저압수용가),SF000705,서울특별시 서대문구 명지대3길 9,37.582119326,126.92320804,스타코프,(주)스타코프
서울 은평구 증산로9길 41-7 (저압수용가),SF000706,서울특별시 은평구 증산로9길 41-7,37.586046286,126.90690593,스타코프,(주)스타코프
송파구청 지하주차장,SF000712,서울특별시 송파구 올림픽로 326,37.514477182,127.10585998,스타코프,(주)스타코프
송파구청 지하주차장,SF000712,서울특별시 송파구 올림픽로 326,37.514477182,127.10585998,스타코프,(주)스타코프
송파구청 지하주차장,SF000712,서울특별시 송파구 올림픽로 326,37.514477182,127.10585998,스타코프,(주)스타코프
거여5단지 아파트,SF000720,서울특별시 송파구 양산로4길 16,37.489209682,127.14496429,스타코프,(주)스타코프
거여5단지 아파트,SF000720,서울특별시 송파구 양산로4길 16,37.489209682,127.14496429,스타코프,(주)스타코프
거여5단지 아파트,SF000720,서울특별시 송파구 양산로4길 16,37.489209682,127.14496429,스타코프,(주)스타코프
거여5단지 아파트,SF000720,서울특별시 송파구 양산로4길 16,37.489209682,127.14496429,스타코프,(주)스타코프
더샵스타리버,SF000721,서울특별시 송파구 올림픽로35길 93,37.517732515,127.1044332,스타코프,(주)스타코프
더샵스타리버,SF000721,서울특별시 송파구 올림픽로35길 93,37.517732515,127.1044332,스타코프,(주)스타코프
보명힐스테이트 (저압수용가),SF000748,서울특별시 서초구 주흥길 51,37.507432998,127.01954891,스타코프,(주)스타코프
송파구 보건지소,SF000762,서울특별시 송파구 양산로 5,37.489770287,127.14267099,스타코프,(주)스타코프
잠실4동 주민센터,SF000763,서울특별시 송파구 올림픽로35길 16,37.520162484,127.11223316,스타코프,(주)스타코프
