`regist_ym`|`fuel_knd_nm`|`vhcle_knd_ty`|`vhcle_prpos_se`|`cnt`|`ldadng_dt`
`201710`|`하이브리드(LNG+전기)`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`수소`|`승용`|`비사업용`|`13`|`2018-07-25 13:09:37`
`201710`|`수소`|`승용`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`수소`|`승합`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`수소`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`수소`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`수소`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`수소`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`수소`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`승용`|`비사업용`|`400`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`승용`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`승합`|`비사업용`|`931`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`화물`|`비사업용`|`2588`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`화물`|`사업용`|`1187`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`특수`|`비사업용`|`124`|`2018-07-25 13:09:37`
`201710`|`기타연료`|`특수`|`사업용`|`2`|`2018-07-25 13:09:37`
`201601`|`휘발유`|`승용`|`비사업용`|`1583249`|`2017-11-21 16:24:43`
`201601`|`휘발유`|`승용`|`사업용`|`17454`|`2017-11-21 16:24:43`
`201601`|`휘발유`|`승합`|`비사업용`|`1252`|`2017-11-21 16:24:43`
`201601`|`휘발유`|`승합`|`사업용`|`37`|`2017-11-21 16:24:43`
`201601`|`휘발유`|`화물`|`비사업용`|`1652`|`2017-11-21 16:24:43`
`201601`|`휘발유`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`휘발유`|`특수`|`비사업용`|`21`|`2017-11-21 16:24:43`
`201601`|`휘발유`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`경유`|`승용`|`비사업용`|`650028`|`2017-11-21 16:24:43`
`201601`|`경유`|`승용`|`사업용`|`8551`|`2017-11-21 16:24:43`
`201601`|`경유`|`승합`|`비사업용`|`94881`|`2017-11-21 16:24:43`
`201601`|`경유`|`승합`|`사업용`|`8239`|`2017-11-21 16:24:43`
`201601`|`경유`|`화물`|`비사업용`|`256360`|`2017-11-21 16:24:43`
`201601`|`경유`|`화물`|`사업용`|`47945`|`2017-11-21 16:24:43`
`201601`|`경유`|`특수`|`비사업용`|`2098`|`2017-11-21 16:24:43`
`201601`|`경유`|`특수`|`사업용`|`4508`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`승용`|`비사업용`|`181796`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`승용`|`사업용`|`89138`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`승합`|`비사업용`|`27644`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`승합`|`사업용`|`65`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`화물`|`비사업용`|`31033`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`화물`|`사업용`|`7045`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`특수`|`비사업용`|`31`|`2017-11-21 16:24:43`
`201601`|`엘피지`|`특수`|`사업용`|`61`|`2017-11-21 16:24:43`
`201601`|`등유`|`승용`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`등유`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`등유`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`등유`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`등유`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`등유`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`등유`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`등유`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
