`regist_ym`,`fuel_knd_nm`,`vhcle_knd_ty`,`vhcle_prpos_se`,`cnt`
201604,수소,승용,사업용,0
201604,수소,승합,비사업용,0
201604,수소,승합,사업용,0
201604,수소,화물,비사업용,0
201604,수소,화물,사업용,0
201604,수소,특수,비사업용,0
201604,수소,특수,사업용,0
201604,기타연료,승용,비사업용,527
201604,기타연료,승용,사업용,0
201604,기타연료,승합,비사업용,679
201604,기타연료,승합,사업용,0
201604,기타연료,화물,비사업용,2041
201604,기타연료,화물,사업용,1137
201604,기타연료,특수,비사업용,74
201604,기타연료,특수,사업용,6
201605,휘발유,승용,비사업용,1578611
201605,휘발유,승용,사업용,17578
201605,휘발유,승합,비사업용,1202
201605,휘발유,승합,사업용,37
201605,휘발유,화물,비사업용,1633
201605,휘발유,화물,사업용,0
201605,휘발유,특수,비사업용,21
201605,휘발유,특수,사업용,0
201605,경유,승용,비사업용,667848
201605,경유,승용,사업용,8724
201605,경유,승합,비사업용,94231
201605,경유,승합,사업용,8016
201605,경유,화물,비사업용,256583
201605,경유,화물,사업용,47726
201605,경유,특수,비사업용,2248
201605,경유,특수,사업용,4609
201605,엘피지,승용,비사업용,178232
201605,엘피지,승용,사업용,88687
201605,엘피지,승합,비사업용,26042
201605,엘피지,승합,사업용,67
201605,엘피지,화물,비사업용,29951
201605,엘피지,화물,사업용,6898
201605,엘피지,특수,비사업용,32
201605,엘피지,특수,사업용,60
201605,전기,승용,비사업용,595
201605,전기,승용,사업용,561
201605,전기,승합,비사업용,1
201605,전기,승합,사업용,9
201605,전기,화물,비사업용,2
201605,전기,화물,사업용,0
201605,전기,특수,비사업용,0
201605,전기,특수,사업용,0
201605,CNG,승용,비사업용,588
201605,CNG,승용,사업용,159
201605,CNG,승합,비사업용,59
201605,CNG,승합,사업용,8684
201605,CNG,화물,비사업용,463
201605,CNG,화물,사업용,3
201605,CNG,특수,비사업용,3
201605,CNG,특수,사업용,0
201605,하이브리드(휘발유+전기),승용,비사업용,33814
201605,하이브리드(휘발유+전기),승용,사업용,2508
201605,하이브리드(휘발유+전기),승합,비사업용,0
201605,하이브리드(휘발유+전기),승합,사업용,0
201605,하이브리드(휘발유+전기),화물,비사업용,0
201605,하이브리드(휘발유+전기),화물,사업용,0
201605,하이브리드(휘발유+전기),특수,비사업용,0
201605,하이브리드(휘발유+전기),특수,사업용,0
201605,하이브리드(경유+전기),승용,비사업용,21
201605,하이브리드(경유+전기),승용,사업용,2
