STD_YM,ADMI_CD,ADMI_NM,RSPOP_CNT,CTY_NM
202107,11290725,월곡2동,330,성북구
202107,11350720,상계10동,357,노원구
202107,11500604,가양2동,111,강서구
202107,11110530,사직동,175,종로구
202107,11350670,상계5동,314,노원구
202107,11440690,망원1동,273,마포구
202107,11410685,홍은2동,338,서대문구
202107,11650620,방배3동,368,서초구
202107,11560515,영등포본동,355,영등포구
202107,11560670,신길5동,205,영등포구
202107,11305603,번2동,206,강북구
202107,11350595,공릉1동,578,노원구
202107,11650520,서초2동,562,서초구
202107,11710562,방이2동,309,송파구
202107,11140550,명동,36,중구
202107,11410720,북가좌2동,511,서대문구
202107,11320515,창5동,446,도봉구
202107,11620525,보라매동,339,관악구
202107,11650580,반포3동,633,서초구
202107,11410555,북아현동,358,서대문구
202107,11560710,대림2동,106,영등포구
202107,11470640,신정3동,1108,양천구
202107,11140625,다산동,163,중구
202107,11710610,삼전동,408,송파구
202107,11350600,공릉2동,840,노원구
202107,11650610,방배2동,314,서초구
202107,11200550,사근동,109,성동구
202107,11410690,남가좌1동,662,서대문구
202107,11545680,시흥2동,464,금천구
202107,11230545,제기동,274,동대문구
202107,11320690,방학1동,456,도봉구
202107,11320710,방학3동,637,도봉구
202107,11470540,목4동,426,양천구
202107,11260655,망우본동,404,중랑구
202107,11500510,염창동,1226,강서구
202107,11620605,은천동,616,관악구
202107,11200660,성수1가2동,192,성동구
202107,11215870,구의3동,476,광진구
202107,11290610,보문동,238,성북구
202107,11260565,면목본동,423,중랑구
202107,11710532,거여2동,366,송파구
202107,11140635,약수동,287,중구
202107,11230560,전농1동,516,동대문구
202107,11560585,도림동,243,영등포구
202107,11710646,장지동,603,송파구
202107,11740580,암사2동,358,강동구
202107,11710531,거여1동,183,송파구
202107,11200690,성수2가3동,152,성동구
202107,11740590,암사3동,615,강동구
202107,11200790,용답동,110,성동구
202107,11740530,명일1동,618,강동구
202107,11305575,삼각산동,959,강북구
202107,11215810,광장동,1171,광진구
202107,11530540,구로3동,364,구로구
202107,11560535,영등포동,263,영등포구
202107,11320521,도봉1동,236,도봉구
202107,11215710,화양동,96,광진구
202107,11530530,구로2동,235,구로구
202107,11200570,행당2동,452,성동구
202107,11500620,공항동,990,강서구
202107,11620685,신사동,238,관악구
202107,11680670,개포2동,479,강남구
202107,11230650,장안1동,660,동대문구
202107,11740550,고덕1동,1039,강동구
202107,11500640,방화2동,323,강서구
202107,11680545,압구정동,635,강남구
202107,11650600,방배1동,293,서초구
202107,11560690,신길7동,605,영등포구
202107,11500603,가양1동,462,강서구
202107,11410585,신촌동,147,서대문구
202107,11545710,시흥5동,267,금천구
202107,11710510,풍납1동,177,송파구
202107,11170650,이태원1동,52,용산구
202107,11710641,문정1동,339,송파구
202107,11200650,성수1가1동,261,성동구
202107,11470580,신월3동,254,양천구
202107,11140650,신당5동,147,중구
202107,11305555,송천동,308,강북구
202107,11410615,연희동,466,서대문구
202107,11305608,번3동,276,강북구
202107,11140580,장충동,56,중구
202107,11215750,중곡2동,347,광진구
202107,11410620,홍제1동,411,서대문구
202107,11710600,석촌동,391,송파구
202107,11140605,을지로동,10,중구
202107,11200615,금호2.3가동,415,성동구
202107,11170570,원효로2동,234,용산구
202107,11290715,월곡1동,598,성북구
202107,11620765,미성동,496,관악구
202107,11530760,개봉3동,292,구로구
202107,11410660,홍은1동,403,서대문구
202107,11710520,풍납2동,545,송파구
202107,11470530,목3동,317,양천구
202107,11470630,신정2동,458,양천구
202107,11530510,신도림동,949,구로구
202107,11500591,화곡6동,325,강서구
202107,11215860,구의2동,504,광진구
202107,11530730,고척2동,512,구로구
202107,11410655,홍제2동,229,서대문구
202107,11530550,구로4동,212,구로구
202107,11590520,노량진2동,101,동작구
202107,11620565,성현동,626,관악구
202107,11740570,암사1동,591,강동구
202107,11230710,회기동,137,동대문구
202107,11305534,삼양동,354,강북구
202107,11350580,월계3동,591,노원구
202107,11620735,대학동,196,관악구
202107,11740515,강일동,782,강동구
202107,11740685,길동,698,강동구
202107,11320511,창1동,472,도봉구
202107,11410520,천연동,294,서대문구
202107,11350695,상계6.7동,678,노원구
202107,11680521,논현1동,168,강남구
202107,11290630,정릉2동,441,성북구
202107,11290685,길음2동,398,성북구
202107,11290580,돈암1동,212,성북구
202107,11110580,교남동,248,종로구
202107,11230600,답십리1동,722,동대문구
202107,11290780,장위3동,471,성북구
202107,11545690,시흥3동,159,금천구
202107,11305625,수유2동,305,강북구
202107,11470670,신정6동,698,양천구
202107,11680700,세곡동,1362,강남구
202107,11350630,상계1동,664,노원구
202107,11620645,서원동,176,관악구
202107,11170520,용산2가동,99,용산구
202107,11110570,무악동,179,종로구
202107,11170660,이태원2동,118,용산구
202107,11740620,천호3동,323,강동구
202107,11260550,면목5동,313,중랑구
202107,11470600,신월5동,275,양천구
202107,11170690,서빙고동,247,용산구
202107,11350624,중계4동,375,노원구
202107,11590540,상도2동,688,동작구
202107,11590560,상도4동,445,동작구
202107,11680740,일원2동,445,강남구
202107,11710580,송파1동,308,송파구
202107,11200535,왕십리도선동,627,성동구
202107,11545610,독산1동,868,금천구
202107,11620575,행운동,301,관악구
202107,11680600,대치1동,772,강남구
202107,11110560,평창동,353,종로구
202107,11350710,상계9동,379,노원구
202107,11470680,신정7동,619,양천구
202107,11350560,월계1동,335,노원구
202107,11500540,화곡1동,611,강서구
202107,11200720,송정동,138,성동구
202107,11560650,신길3동,301,영등포구
202107,11710631,가락1동,934,송파구
202107,11320680,쌍문3동,205,도봉구
202107,11380632,신사2동,323,은평구
202107,11230705,청량리동,239,동대문구
202107,11620545,청림동,325,관악구
202107,11740540,명일2동,412,강동구
202107,11305660,인수동,466,강북구
202107,11200620,금호4가동,336,성동구
202107,11380600,응암3동,311,은평구
202107,11110540,삼청동,27,종로구
202107,11440590,용강동,659,마포구
202107,11560610,양평1동,315,영등포구
202107,11560720,대림3동,273,영등포구
202107,11260540,면목4동,312,중랑구
202107,11650530,서초3동,484,서초구
202107,11170530,남영동,50,용산구
202107,11620595,청룡동,307,관악구
202107,11320513,창3동,232,도봉구
202107,11320681,쌍문4동,395,도봉구
202107,11170625,한강로동,287,용산구
202107,11350640,상계2동,282,노원구
202107,11680630,대치4동,223,강남구
202107,11200560,행당1동,241,성동구
202107,11500560,화곡3동,381,강서구
202107,11170685,한남동,316,용산구
202107,11590630,사당2동,469,동작구
202107,11140520,소공동,44,중구
202107,11590651,사당5동,254,동작구
202107,11140540,회현동,68,중구
202107,11140680,중림동,240,중구
202107,11590605,흑석동,677,동작구
202107,11110630,종로5.6가동,31,종로구
202107,11620745,삼성동,262,관악구
202107,11740600,천호1동,394,강동구
202107,11260580,상봉1동,533,중랑구
202107,11320514,창4동,515,도봉구
202107,11350612,하계2동,471,노원구
202107,11470611,신월7동,282,양천구
202107,11710561,방이1동,303,송파구
202107,11440660,서교동,223,마포구
202107,11590650,사당4동,189,동작구
202107,11710632,가락2동,799,송파구
202107,11230740,이문1동,204,동대문구
202107,11290770,장위2동,155,성북구
202107,11500615,우장산동,1168,강서구
202107,11650652,양재2동,425,서초구
202107,11545640,독산4동,164,금천구
202107,11500590,화곡본동,602,강서구
202107,11680610,대치2동,747,강남구
202107,11260630,묵2동,290,중랑구
202107,11305645,우이동,323,강북구
202107,11545630,독산3동,286,금천구
202107,11200520,왕십리2동,303,성동구
202107,11590680,신대방2동,408,동작구
202107,11710550,마천2동,245,송파구
202107,11110650,혜화동,212,종로구
202107,11215730,군자동,261,광진구
202107,11215820,자양1동,273,광진구
202107,11470610,신월6동,382,양천구
202107,11560700,대림1동,218,영등포구
202107,11650531,서초4동,1057,서초구
202107,11710540,마천1동,266,송파구
202107,11740690,둔촌1동,2,강동구
202107,11440600,대흥동,174,마포구
202107,11710642,문정2동,444,송파구
202107,11140590,광희동,33,중구
202107,11215740,중곡1동,198,광진구
202107,11560620,양평2동,386,영등포구
202107,11290760,장위1동,453,성북구
202107,11680650,역삼2동,888,강남구
202107,11230730,휘경2동,374,동대문구
202107,11470590,신월4동,417,양천구
202107,11680690,개포4동,472,강남구
