addr,lat,lng,법정동,cnt,법정동코드,행정동,행정동코드
서울특별시 강남구 역삼동 755-1,37.4996776391,127.0495726208,역삼동,3,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼동 755-4,37.4988525999,127.051025254,역삼동,4,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼동 757,37.4981410336,127.050493262,역삼동,5,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼동 도곡로43길 20,37.4968641934,127.0486174555,역삼동,1,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼동 도곡로57길 12,37.496746,127.051602,역삼동,3,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼동 역삼로 306 ,37.4989768233,127.0469586923,역삼동,3,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼로 111,37.49364507,127.03132497,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 역삼로 240,37.497350914,127.04280392,역삼동,1,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼로 251,37.498631066,127.0440226,역삼동,2,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼로 307,37.499413086443,127.0465133958,역삼동,5,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼로 307,37.499737136483,127.0472995669,역삼동,5,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼로 523,37.503938,127.060386,대치동,3,1168010600,대치2동,1168061000
서울특별시 강남구 역삼로18길 10,37.49442,127.036122,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 역삼로3길 18,37.494714543,127.03147244,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 역삼로7길 16 (역삼동),37.4953738379,127.0332824837,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 영동대로 318,37.503019,127.06699,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 영동대로 326,37.503804797,127.06659201,대치동,2,1168010600,대치2동,1168061000
서울특별시 강남구 영동대로 401,37.505254,127.064544,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 영동대로 513,37.51182328107,127.0591597219,삼성동,3,1168010500,삼성1동,1168058000
서울특별시 강남구 영동대로 513,37.512094,127.059498,삼성동,17,1168010500,삼성1동,1168058000
서울특별시 강남구 영동대로 513,37.512721,127.057556,삼성동,2,1168010500,삼성1동,1168058000
서울특별시 강남구 영동대로112길 15,37.5155186,127.0615148,삼성동,5,1168010500,삼성1동,1168058000
서울특별시 강남구 영동대로114길 56,37.516628440186,127.0641360369,삼성동,5,1168010500,삼성1동,1168058000
서울특별시 강남구 영동대로114길 72,37.518024,127.064991,삼성동,1,1168010500,삼성1동,1168058000
서울특별시 강남구 영동대로141길 24,37.522893103,127.05287909,청담동,1,1168010400,청담동,1168056500
서울특별시 강남구 영동대로142길 16,37.52475781,127.056212,청담동,16,1168010400,청담동,1168056500
서울특별시 강남구 영동대로65길 24,37.502333059827,127.0642142814,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 영동대로72길 10,37.504658,127.0667903,대치동,2,1168010600,대치2동,1168061000
서울특별시 강남구 영동대로72길 10,37.5046603,127.0666454,대치동,2,1168010600,대치2동,1168061000
서울특별시 강남구 율현동 101-13,37.4702566872,127.1184618819,율현동,1,1168011300,세곡동,1168070000
서울특별시 강남구 율현동 밤고개로26길 50,37.4678116186,127.1048207502,율현동,3,1168011300,세곡동,1168070000
서울특별시 강남구 율현동 밤고개로27길 20,37.4709029988,127.1097674257,율현동,2,1168011300,세곡동,1168070000
서울특별시 강남구 일원동 4-49,37.493865,127.08723,일원동,1,1168011400,일원1동,1168073000
서울특별시 강남구 일원동 개포로110길 15,37.4932436794,127.0791148884,일원동,1,1168011400,일원2동,1168074000
서울특별시 강남구 일원동 일원로 120,37.4852006506,127.0826748096,일원동,1,1168011400,일원본동,1168072000
서울특별시 강남구 일원동 일원로 127,37.4831588428,127.085381578,일원동,1,1168011400,일원본동,1168072000
서울특별시 강남구 자곡동 자곡로 101 ,37.4726558946,127.0958062553,자곡동,3,1168011200,세곡동,1168070000
서울특별시 강남구 자곡동 자곡로 175,37.4742504351,127.1025415943,자곡동,2,1168011200,세곡동,1168070000
서울특별시 강남구 자곡동 자곡로 260,37.475905,127.112986,자곡동,5,1168011200,세곡동,1168070000
서울특별시 강남구 자곡동 자곡로 260,37.478239,127.128729,장지동,3,1171010900,장지동,1171064600
서울특별시 강남구 자곡동 자곡로 260,37.479097,127.130755,장지동,4,1171010900,장지동,1171064600
서울특별시 강남구 자곡동 자곡로 260,37.480807,127.09049,수서동,3,1168011500,일원본동,1168072000
서울특별시 강남구 자곡동 자곡로 260,37.510895,126.88338,신도림동,4,1153010100,신도림동,1153051000
서울특별시 강남구 자곡동 자곡로 260,37.513161,127.090312,잠실동,8,1171010100,잠실2동,1171067000
서울특별시 강남구 자곡동 자곡로 260,37.513789,127.051413,삼성동,4,1168010500,삼성2동,1168059000
서울특별시 강남구 자곡동 자곡로 260,37.515558,126.918256,신길동,3,1156013200,신길1동,1156063000
서울특별시 강남구 자곡동 자곡로 260,37.540361,127.124838,천호동,2,1174010900,천호2동,1174061000
서울특별시 강남구 자곡동 자곡로 260,37.561757,127.172139,강일동,2,1174011000,강일동,1174051500
서울특별시 강남구 자곡동 자곡로 260 ,37.4765488043,127.111607161,자곡동,4,1168011200,세곡동,1168070000
