상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,행정동_코드
1000519,2020,4,295,325,11470510
1000520,2020,4,154,175,11470630
1000521,2020,4,209,232,11470650
1000522,2020,4,393,416,11470650
1000523,2020,4,156,167,11470540
1000524,2020,4,53,54,11470520
1000525,2020,4,59,66,11470540
1000526,2020,4,113,125,11470540
1000527,2020,4,68,74,11470520
1000528,2020,4,83,91,11470530
1000529,2020,4,192,204,11470540
1000530,2020,4,104,111,11470540
1000531,2020,4,89,96,11470630
1000532,2020,4,163,179,11470630
1000533,2020,4,196,213,11470630
1000534,2020,4,183,203,11470590
1000535,2020,4,84,92,11470610
1000536,2020,4,95,98,11470650
1000537,2020,4,154,160,11470650
1000538,2020,4,69,73,11470590
1000539,2020,4,156,170,11470590
1000540,2020,4,159,182,11470620
1000541,2020,4,140,146,11470650
1000542,2020,4,78,82,11470640
1000543,2020,4,192,209,11470620
1000544,2020,4,138,145,11470620
1000545,2020,4,118,129,11470640
1000546,2020,4,45,46,11470640
1000547,2020,4,123,130,11470570
1000548,2020,4,63,64,11470570
1000549,2020,4,190,207,11470611
1000550,2020,4,103,109,11470600
1000551,2020,4,120,134,11470600
1000552,2020,4,105,109,11500540
1000553,2020,4,105,111,11500540
1000554,2020,4,193,209,11500540
1000555,2020,4,55,59,11500540
1000556,2020,4,163,176,11500593
1000557,2020,4,142,156,11500540
1000558,2020,4,96,104,11500560
1000559,2020,4,199,237,11500560
1000560,2020,4,112,122,11500560
1000561,2020,4,163,181,11500611
1000562,2020,4,72,80,11500611
1000563,2020,4,231,254,11500540
1000564,2020,4,141,154,11500540
1000565,2020,4,108,115,11500550
1000566,2020,4,217,230,11500593
1000567,2020,4,147,155,11500640
1000568,2020,4,129,132,11500640
1000569,2020,4,123,137,11500593
1000570,2020,4,88,101,11500550
1000571,2020,4,72,75,11500550
1000572,2020,4,72,78,11500570
1000573,2020,4,178,201,11500570
1000574,2020,4,83,87,11500615
1000575,2020,4,113,121,11500615
1000576,2020,4,121,134,11500520
1000577,2020,4,193,210,11500520
1000578,2020,4,121,141,11500510
1000579,2020,4,102,114,11500510
1000580,2020,4,171,188,11500620
1000581,2020,4,92,94,11500550
1000582,2020,4,136,147,11500590
1000583,2020,4,171,180,11500620
1000584,2020,4,91,99,11500570
1000585,2020,4,137,153,11500530
1000586,2020,4,89,100,11500530
1000587,2020,4,89,99,11500530
1000588,2020,4,162,183,11500570
1000589,2020,4,137,150,11500620
1000590,2020,4,199,209,11500620
1000591,2020,4,156,170,11500640
1000592,2020,4,186,202,11500630
1000593,2020,4,116,128,11500630
1000594,2020,4,121,139,11500630
1000595,2020,4,91,99,11500603
1000596,2020,4,126,143,11500510
1000597,2020,4,169,187,11500510
1000598,2020,4,141,155,11500615
1000599,2020,4,100,109,11500540
1000600,2020,4,156,175,11500590
1000601,2020,4,69,73,11500590
1000602,2020,4,73,77,11500630
1000603,2020,4,174,188,11470600
1000604,2020,4,188,196,11500540
1000605,2020,4,240,252,11500615
1000606,2020,4,196,215,11500591
1000607,2020,4,97,104,11500591
1000608,2020,4,209,240,11500520
1000609,2020,4,71,79,11530760
1000610,2020,4,82,88,11530750
1000611,2020,4,66,77,11530750
1000612,2020,4,49,52,11530760
1000613,2020,4,116,135,11530750
1000614,2020,4,224,251,11530740
1000615,2020,4,170,184,11530760
1000616,2020,4,199,220,11530760
1000617,2020,4,99,109,11530770
1000618,2020,4,100,108,11530740
1000619,2020,4,168,179,11530740
1000620,2020,4,193,248,11530720
1000621,2020,4,152,170,11530740
1000622,2020,4,125,129,11530740
1000623,2020,4,87,96,11530730
1000624,2020,4,74,81,11530720
1000625,2020,4,114,122,11530560
1000626,2020,4,83,85,11530530
1000627,2020,4,138,145,11530530
1000628,2020,4,105,110,11530530
1000629,2020,4,69,76,11530530
1000630,2020,4,144,150,11530530
1000631,2020,4,133,137,11530595
1000632,2020,4,198,206,11530550
1000633,2020,4,150,155,11530530
1000634,2020,4,203,221,11530560
1000635,2020,4,62,65,11530560
1000636,2020,4,68,71,11530510
1000637,2020,4,141,153,11530550
1000638,2020,4,177,190,11530550
1000639,2020,4,77,102,11530750
1000640,2020,4,101,109,11530540
1000641,2020,4,133,142,11530595
1000642,2020,4,91,96,11530595
1000643,2020,4,200,232,11530540
1000644,2020,4,379,440,11530540
1000645,2020,4,77,84,11530790
1000646,2020,4,116,125,11530790
1000647,2020,4,97,106,11530790
1000648,2020,4,142,160,11530560
1000649,2020,4,36,39,11530510
1000650,2020,4,212,227,11530780
1000651,2020,4,55,58,11530595
1000652,2020,4,94,99,11530730
1000653,2020,4,328,363,11530720
1000654,2020,4,95,103,11545610
1000655,2020,4,160,169,11545510
1000656,2020,4,100,108,11545670
1000657,2020,4,96,101,11545610
1000658,2020,4,73,80,11545710
1000659,2020,4,159,168,11545510
1000660,2020,4,160,174,11545630
1000661,2020,4,142,154,11545700
1000662,2020,4,73,80,11545700
1000663,2020,4,111,121,11545620
1000664,2020,4,81,87,11545640
1000665,2020,4,113,121,11545640
1000666,2020,4,94,104,11545630
1000667,2020,4,91,95,11545630
1000668,2020,4,86,94,11545610
1000669,2020,4,84,87,11545610
1000670,2020,4,103,112,11545510
1000671,2020,4,175,199,11545640
1000672,2020,4,105,108,11545630
1000673,2020,4,184,196,11545610
1000674,2020,4,255,265,11545630
1000675,2020,4,74,84,11545510
1000676,2020,4,115,123,11545690
1000677,2020,4,68,77,11545690
1000678,2020,4,79,88,11545670
1000679,2020,4,167,186,11545670
1000680,2020,4,97,104,11545670
1000681,2020,4,56,59,11545620
1000682,2020,4,201,211,11545620
1000683,2020,4,99,105,11560650
1000684,2020,4,174,179,11560605
1000685,2020,4,101,103,11560605
1000686,2020,4,45,47,11560605
1000687,2020,4,196,211,11560535
1000688,2020,4,191,213,11560550
1000689,2020,4,179,201,11560560
1000690,2020,4,172,187,11560560
1000691,2020,4,198,209,11560560
1000692,2020,4,123,128,11560700
1000693,2020,4,518,542,11560720
1000694,2020,4,150,155,11560720
1000695,2020,4,150,158,11560720
1000696,2020,4,143,147,11560720
1000697,2020,4,136,138,11560710
1000698,2020,4,159,174,11560700
1000699,2020,4,67,73,11560585
1000700,2020,4,128,131,11560605
1000701,2020,4,41,45,11560670
1000702,2020,4,132,145,11560710
1000703,2020,4,119,129,11560585
1000704,2020,4,107,116,11560585
1000705,2020,4,117,126,11560630
1000706,2020,4,64,71,11560630
1000707,2020,4,258,266,11560710
1000708,2020,4,187,193,11560710
1000709,2020,4,53,56,11560700
1000710,2020,4,218,235,11560620
1000711,2020,4,84,85,11560610
1000712,2020,4,200,220,11560610
1000713,2020,4,75,81,11560610
1000714,2020,4,85,90,11560670
1000715,2020,4,55,59,11560650
1000716,2020,4,43,46,11560630
1000717,2020,4,51,55,11560660
1000718,2020,4,108,115,11560515
1000719,2020,4,300,344,11560620
1000720,2020,4,121,130,11560620
1000721,2020,4,136,150,11560620
1000722,2020,4,123,134,11560680
1000723,2020,4,127,136,11560690
1000724,2020,4,114,119,11560690
1000725,2020,4,59,60,11560630
1000726,2020,4,202,214,11560550
1000727,2020,4,225,233,11560550
1000728,2020,4,213,222,11560535
1000729,2020,4,43,46,11560515
