행정동코드,행정동,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드
1126065500,망우본동,7524.0,3032.0,2810.0,1465.0,48.0,4.0,3.0,9.0,154.0
1126066000,망우제3동,7524.0,3032.0,2810.0,1465.0,48.0,4.0,3.0,9.0,154.0
1126068000,신내1동,9866.0,4621.0,3605.0,1169.0,68.0,56.0,4.0,28.0,316.0
1126069000,신내2동,9866.0,4621.0,3605.0,1169.0,68.0,56.0,4.0,28.0,316.0
1129058000,돈암제1동,6016.0,3512.0,1812.0,343.0,33.0,0.0,2.0,16.0,298.0
1129059000,돈암제2동,6016.0,3512.0,1812.0,343.0,33.0,0.0,2.0,16.0,298.0
1129064000,정릉제3동,11731.0,5902.0,3954.0,1020.0,92.0,304.0,4.0,24.0,432.0
1129065000,정릉제4동,11731.0,5902.0,3954.0,1020.0,92.0,304.0,4.0,24.0,432.0
1129066000,길음제1동,14661.0,8483.0,4526.0,847.0,87.0,14.0,7.0,33.0,664.0
1129071500,월곡제1동,11644.0,6101.0,4174.0,851.0,57.0,2.0,6.0,28.0,425.0
1129076000,장위제1동,4998.0,2453.0,1888.0,445.0,29.0,4.0,2.0,9.0,169.0
1129077000,장위제2동,4998.0,2453.0,1888.0,445.0,29.0,4.0,2.0,9.0,169.0
1129078000,장위제3동,4998.0,2453.0,1888.0,445.0,29.0,4.0,2.0,9.0,169.0
1130553400,삼양동,6619.0,3359.0,2394.0,608.0,30.0,2.0,2.0,14.0,211.0
1130553500,미아동,6619.0,3359.0,2394.0,608.0,30.0,2.0,2.0,14.0,211.0
1130554500,송중동,6619.0,3359.0,2394.0,608.0,30.0,2.0,2.0,14.0,211.0
1130555500,송천동,6619.0,3359.0,2394.0,608.0,30.0,2.0,2.0,14.0,211.0
1130557500,삼각산동,6619.0,3359.0,2394.0,608.0,30.0,2.0,2.0,14.0,211.0
1130559500,번1동,4330.0,1983.0,1532.0,608.0,30.0,74.0,1.0,5.0,98.0
1130560300,번2동,4330.0,1983.0,1532.0,608.0,30.0,74.0,1.0,5.0,98.0
1130560800,번3동,4330.0,1983.0,1532.0,608.0,30.0,74.0,1.0,5.0,98.0
1130561500,수유1동,6556.0,3113.0,2467.0,698.0,36.0,74.0,2.0,7.0,159.0
1130562500,수유2동,6556.0,3113.0,2467.0,698.0,36.0,74.0,2.0,7.0,159.0
1130563500,수유3동,6556.0,3113.0,2467.0,698.0,36.0,74.0,2.0,7.0,159.0
1130566000,인수동,6556.0,3113.0,2467.0,698.0,36.0,74.0,2.0,7.0,159.0
1132051100,창제1동,7254.0,3705.0,2514.0,734.0,34.0,7.0,3.0,12.0,244.0
1132051200,창제2동,7254.0,3705.0,2514.0,734.0,34.0,7.0,3.0,12.0,244.0
1132051300,창제3동,7254.0,3705.0,2514.0,734.0,34.0,7.0,3.0,12.0,244.0
1132051400,창제4동,7254.0,3705.0,2514.0,734.0,34.0,7.0,3.0,12.0,244.0
1132051500,창제5동,7254.0,3705.0,2514.0,734.0,34.0,7.0,3.0,12.0,244.0
1132052100,도봉제1동,7548.0,3494.0,2720.0,936.0,35.0,144.0,2.0,12.0,205.0
1132052200,도봉제2동,7548.0,3494.0,2720.0,936.0,35.0,144.0,2.0,12.0,205.0
1132066000,쌍문제1동,5184.0,2578.0,1862.0,571.0,22.0,4.0,0.0,8.0,138.0
1132067000,쌍문제2동,5184.0,2578.0,1862.0,571.0,22.0,4.0,0.0,8.0,138.0
1132068000,쌍문제3동,5184.0,2578.0,1862.0,571.0,22.0,4.0,0.0,8.0,138.0
1132068100,쌍문제4동,5184.0,2578.0,1862.0,571.0,22.0,4.0,0.0,8.0,138.0
1132069000,방학제1동,7856.0,3721.0,2714.0,1138.0,62.0,4.0,2.0,17.0,200.0
