사용본거지법정동명,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드,행정동코드,읍면동명
서울특별시 중구 남학동,19,11,8,0,0,0,0,0,0,1114057000,필동
서울특별시 중구 주자동,46,25,17,4,0,0,0,0,0,1114057000,필동
서울특별시 중구 예장동,357,149,146,22,18,0,1,3,18,1114055000,명동
서울특별시 중구 예장동,357,149,146,22,18,0,1,3,18,1114055000,명동
서울특별시 중구 장충동1가,576,303,202,40,9,0,2,3,17,1114058000,장충동
서울특별시 중구 장충동2가,758,330,315,65,16,0,1,7,24,1114057000,필동
서울특별시 중구 장충동2가,758,330,315,65,16,0,1,7,24,1114057000,필동
서울특별시 중구 광희동1가,232,99,109,16,1,0,1,0,6,1114059000,광희동
서울특별시 중구 광희동2가,232,104,98,22,0,0,0,3,5,1114059000,광희동
서울특별시 중구 쌍림동,300,135,128,24,3,1,0,0,9,1114059000,광희동
서울특별시 중구 을지로6가,250,111,112,10,2,0,2,1,12,1114059000,광희동
서울특별시 중구 을지로7가,49,23,18,3,0,0,0,5,0,1114059000,광희동
서울특별시 중구 을지로4가,138,70,57,3,1,0,0,1,6,1114060500,을지로동
서울특별시 중구 을지로5가,216,91,102,12,2,0,0,0,9,1114060500,을지로동
서울특별시 중구 주교동,169,82,79,5,0,0,0,1,2,1114060500,을지로동
서울특별시 중구 방산동,42,14,26,1,1,0,0,0,0,1114060500,을지로동
서울특별시 중구 오장동,304,128,136,34,0,0,0,0,6,1114059000,광희동
서울특별시 중구 을지로3가,410,195,186,15,0,0,1,0,13,1114060500,을지로동
서울특별시 중구 입정동,141,49,79,10,1,0,0,0,2,1114060500,을지로동
서울특별시 중구 산림동,170,74,88,5,1,0,0,0,2,1114060500,을지로동
서울특별시 중구 충무로3가,261,148,86,9,4,0,2,0,12,1114057000,필동
서울특별시 중구 초동,153,79,65,5,0,0,0,0,4,1114060500,을지로동
서울특별시 중구 인현동1가,118,43,65,7,0,2,0,0,1,1114060500,을지로동
서울특별시 중구 저동2가,209,121,75,5,2,0,0,0,6,1114060500,을지로동
서울특별시 중구 신당동,20224,10430,7303,1593,120,4,10,46,718,1114061500,신당동
서울특별시 중구 신당동,20224,10430,7303,1593,120,4,10,46,718,1114061500,신당동
서울특별시 중구 신당동,20224,10430,7303,1593,120,4,10,46,718,1114061500,신당동
서울특별시 중구 신당동,20224,10430,7303,1593,120,4,10,46,718,1114061500,신당동
서울특별시 중구 신당동,20224,10430,7303,1593,120,4,10,46,718,1114061500,신당동
